d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,2.0,1.0,x,0.0,2024-12-04 13:08:19.999257
11.0,10000.0,0.01,2.0,1.0,z,0.0,2024-12-04 13:08:20.006543
11.0,10000.0,0.01,2.0,1.0,corr_z,0.0,2024-12-04 13:08:20.008345
11.0,10000.0,0.01,2.0,1.0,total,0.0,2024-12-04 13:08:20.009773
11.0,10000.0,0.022564102564102566,2.0,1.0,x,0.0,2024-12-04 13:08:24.836700
11.0,10000.0,0.022564102564102566,2.0,1.0,z,0.0,2024-12-04 13:08:24.838787
11.0,10000.0,0.022564102564102566,2.0,1.0,corr_z,0.0,2024-12-04 13:08:24.840074
11.0,10000.0,0.022564102564102566,2.0,1.0,total,0.0,2024-12-04 13:08:24.841355
11.0,10000.0,0.03512820512820513,2.0,1.0,x,0.0,2024-12-04 13:08:29.644487
11.0,10000.0,0.03512820512820513,2.0,1.0,z,0.0002,2024-12-04 13:08:29.646593
11.0,10000.0,0.03512820512820513,2.0,1.0,corr_z,0.0,2024-12-04 13:08:29.647886
11.0,10000.0,0.03512820512820513,2.0,1.0,total,0.0002,2024-12-04 13:08:29.649145
11.0,10000.0,0.047692307692307694,2.0,1.0,x,0.0002,2024-12-04 13:08:34.519609
11.0,10000.0,0.047692307692307694,2.0,1.0,z,0.0012,2024-12-04 13:08:34.521771
11.0,10000.0,0.047692307692307694,2.0,1.0,corr_z,0.0001,2024-12-04 13:08:34.523129
11.0,10000.0,0.047692307692307694,2.0,1.0,total,0.0014,2024-12-04 13:08:34.524397
11.0,10000.0,0.06025641025641026,2.0,1.0,x,0.0005,2024-12-04 13:08:39.381876
11.0,10000.0,0.06025641025641026,2.0,1.0,z,0.0034,2024-12-04 13:08:39.383994
11.0,10000.0,0.06025641025641026,2.0,1.0,corr_z,0.0008,2024-12-04 13:08:39.385266
11.0,10000.0,0.06025641025641026,2.0,1.0,total,0.0039,2024-12-04 13:08:39.386540
11.0,10000.0,0.07282051282051281,2.0,1.0,x,0.002,2024-12-04 13:08:44.324538
11.0,10000.0,0.07282051282051281,2.0,1.0,z,0.0116,2024-12-04 13:08:44.326756
11.0,10000.0,0.07282051282051281,2.0,1.0,corr_z,0.0022,2024-12-04 13:08:44.328051
11.0,10000.0,0.07282051282051281,2.0,1.0,total,0.0136,2024-12-04 13:08:44.329389
11.0,10000.0,0.08538461538461538,2.0,1.0,x,0.0026,2024-12-04 13:08:49.328752
11.0,10000.0,0.08538461538461538,2.0,1.0,z,0.0216,2024-12-04 13:08:49.330860
11.0,10000.0,0.08538461538461538,2.0,1.0,corr_z,0.0046,2024-12-04 13:08:49.332173
11.0,10000.0,0.08538461538461538,2.0,1.0,total,0.0242,2024-12-04 13:08:49.333470
11.0,10000.0,0.09794871794871794,2.0,1.0,x,0.0056,2024-12-04 13:08:54.362820
11.0,10000.0,0.09794871794871794,2.0,1.0,z,0.0412,2024-12-04 13:08:54.364868
11.0,10000.0,0.09794871794871794,2.0,1.0,corr_z,0.0069,2024-12-04 13:08:54.366146
11.0,10000.0,0.09794871794871794,2.0,1.0,total,0.0468,2024-12-04 13:08:54.367434
11.0,10000.0,0.1105128205128205,2.0,1.0,x,0.0109,2024-12-04 13:08:59.452396
11.0,10000.0,0.1105128205128205,2.0,1.0,z,0.0692,2024-12-04 13:08:59.454501
