d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,5.0,0.5,x,0.0,2024-08-20 17:12:33.826010
11.0,10000.0,0.01,5.0,0.5,z,0.0,2024-08-20 17:12:33.829613
11.0,10000.0,0.01,5.0,0.5,corr_z,0.0,2024-08-20 17:12:33.830933
11.0,10000.0,0.01,5.0,0.5,total,0.0,2024-08-20 17:12:33.832142
11.0,10000.0,0.022564102564102566,5.0,0.5,x,0.0001,2024-08-20 17:12:38.307984
11.0,10000.0,0.022564102564102566,5.0,0.5,z,0.0,2024-08-20 17:12:38.309994
11.0,10000.0,0.022564102564102566,5.0,0.5,corr_z,0.0,2024-08-20 17:12:38.311244
11.0,10000.0,0.022564102564102566,5.0,0.5,total,0.0001,2024-08-20 17:12:38.312456
11.0,10000.0,0.03512820512820513,5.0,0.5,x,0.0021,2024-08-20 17:12:42.782179
11.0,10000.0,0.03512820512820513,5.0,0.5,z,0.0,2024-08-20 17:12:42.784185
11.0,10000.0,0.03512820512820513,5.0,0.5,corr_z,0.0,2024-08-20 17:12:42.785365
11.0,10000.0,0.03512820512820513,5.0,0.5,total,0.0021,2024-08-20 17:12:42.786516
11.0,10000.0,0.047692307692307694,5.0,0.5,x,0.0088,2024-08-20 17:12:47.263158
11.0,10000.0,0.047692307692307694,5.0,0.5,z,0.0001,2024-08-20 17:12:47.265139
11.0,10000.0,0.047692307692307694,5.0,0.5,corr_z,0.0002,2024-08-20 17:12:47.266320
11.0,10000.0,0.047692307692307694,5.0,0.5,total,0.0089,2024-08-20 17:12:47.267488
11.0,10000.0,0.06025641025641026,5.0,0.5,x,0.0228,2024-08-20 17:12:51.783348
11.0,10000.0,0.06025641025641026,5.0,0.5,z,0.0001,2024-08-20 17:12:51.785366
11.0,10000.0,0.06025641025641026,5.0,0.5,corr_z,0.0003,2024-08-20 17:12:51.786604
11.0,10000.0,0.06025641025641026,5.0,0.5,total,0.0229,2024-08-20 17:12:51.787815
11.0,10000.0,0.07282051282051281,5.0,0.5,x,0.0469,2024-08-20 17:12:56.452243
11.0,10000.0,0.07282051282051281,5.0,0.5,z,0.0007,2024-08-20 17:12:56.454310
11.0,10000.0,0.07282051282051281,5.0,0.5,corr_z,0.0011,2024-08-20 17:12:56.455591
11.0,10000.0,0.07282051282051281,5.0,0.5,total,0.0476,2024-08-20 17:12:56.456824
11.0,10000.0,0.08538461538461538,5.0,0.5,x,0.0762,2024-08-20 17:13:01.338870
11.0,10000.0,0.08538461538461538,5.0,0.5,z,0.0017,2024-08-20 17:13:01.341084
11.0,10000.0,0.08538461538461538,5.0,0.5,corr_z,0.0033,2024-08-20 17:13:01.342482
11.0,10000.0,0.08538461538461538,5.0,0.5,total,0.0779,2024-08-20 17:13:01.343770
11.0,10000.0,0.09794871794871794,5.0,0.5,x,0.1185,2024-08-20 17:13:06.451901
11.0,10000.0,0.09794871794871794,5.0,0.5,z,0.0025,2024-08-20 17:13:06.454130
11.0,10000.0,0.09794871794871794,5.0,0.5,corr_z,0.006,2024-08-20 17:13:06.455612
11.0,10000.0,0.09794871794871794,5.0,0.5,total,0.121,2024-08-20 17:13:06.456964
11.0,10000.0,0.1105128205128205,5.0,0.5,x,0.1594,2024-08-20 17:13:11.628172
11.0,10000.0,0.1105128205128205,5.0,0.5,z,0.0051,2024-08-20 17:13:11.630531
11.0,10000.0,0.1105128205128205,5.0,0.5,corr_z,0.0109,2024-08-20 17:13:11.631964
11.0,10000.0,0.1105128205128205,5.0,0.5,total,0.1645,2024-08-20 17:13:11.633422
11.0,10000.0,0.12307692307692307,5.0,0.5,x,0.2041,2024-08-20 17:13:16.873364
11.0,10000.0,0.12307692307692307,5.0,0.5,z,0.0092,2024-08-20 17:13:16.875625
11.0,10000.0,0.12307692307692307,5.0,0.5,corr_z,0.0187,2024-08-20 17:13:16.877086
11.0,10000.0,0.12307692307692307,5.0,0.5,total,0.2133,2024-08-20 17:13:16.878421
11.0,10000.0,0.13564102564102565,5.0,0.5,x,0.2492,2024-08-20 17:13:22.178457
11.0,10000.0,0.13564102564102565,5.0,0.5,z,0.0152,2024-08-20 17:13:22.180803
11.0,10000.0,0.13564102564102565,5.0,0.5,corr_z,0.0275,2024-08-20 17:13:22.182218
11.0,10000.0,0.13564102564102565,5.0,0.5,total,0.2644,2024-08-20 17:13:22.183498
11.0,10000.0,0.1482051282051282,5.0,0.5,x,0.2867,2024-08-20 17:13:27.504149
11.0,10000.0,0.1482051282051282,5.0,0.5,z,0.025,2024-08-20 17:13:27.506280
11.0,10000.0,0.1482051282051282,5.0,0.5,corr_z,0.0422,2024-08-20 17:13:27.507609
11.0,10000.0,0.1482051282051282,5.0,0.5,total,0.3117,2024-08-20 17:13:27.508897
11.0,10000.0,0.16076923076923078,5.0,0.5,x,0.3227,2024-08-20 17:13:32.862883
11.0,10000.0,0.16076923076923078,5.0,0.5,z,0.0355,2024-08-20 17:13:32.864963
11.0,10000.0,0.16076923076923078,5.0,0.5,corr_z,0.0562,2024-08-20 17:13:32.866307
11.0,10000.0,0.16076923076923078,5.0,0.5,total,0.3582,2024-08-20 17:13:32.867578
11.0,10000.0,0.17333333333333334,5.0,0.5,x,0.3554,2024-08-20 17:13:38.266423
11.0,10000.0,0.17333333333333334,5.0,0.5,z,0.0494,2024-08-20 17:13:38.268550
11.0,10000.0,0.17333333333333334,5.0,0.5,corr_z,0.0753,2024-08-20 17:13:38.269872
11.0,10000.0,0.17333333333333334,5.0,0.5,total,0.4048,2024-08-20 17:13:38.271170
