d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,4.0,1.0,x,0.0,2024-12-02 20:54:07.696672
11.0,10000.0,0.01,4.0,1.0,z,0.0,2024-12-02 20:54:07.699492
11.0,10000.0,0.01,4.0,1.0,corr_z,0.0,2024-12-02 20:54:07.700770
11.0,10000.0,0.01,4.0,1.0,total,0.0,2024-12-02 20:54:07.701957
11.0,10000.0,0.022564102564102566,4.0,1.0,x,0.0,2024-12-02 20:54:11.295379
11.0,10000.0,0.022564102564102566,4.0,1.0,z,0.0,2024-12-02 20:54:11.296911
11.0,10000.0,0.022564102564102566,4.0,1.0,corr_z,0.0,2024-12-02 20:54:11.298128
11.0,10000.0,0.022564102564102566,4.0,1.0,total,0.0,2024-12-02 20:54:11.299297
11.0,10000.0,0.03512820512820513,4.0,1.0,x,0.0001,2024-12-02 20:54:14.925910
11.0,10000.0,0.03512820512820513,4.0,1.0,z,0.0,2024-12-02 20:54:14.927495
11.0,10000.0,0.03512820512820513,4.0,1.0,corr_z,0.0001,2024-12-02 20:54:14.928717
11.0,10000.0,0.03512820512820513,4.0,1.0,total,0.0001,2024-12-02 20:54:14.929885
11.0,10000.0,0.047692307692307694,4.0,1.0,x,0.0017,2024-12-02 20:54:18.579026
11.0,10000.0,0.047692307692307694,4.0,1.0,z,0.0001,2024-12-02 20:54:18.580599
11.0,10000.0,0.047692307692307694,4.0,1.0,corr_z,0.0005,2024-12-02 20:54:18.581820
11.0,10000.0,0.047692307692307694,4.0,1.0,total,0.0018,2024-12-02 20:54:18.582990
11.0,10000.0,0.06025641025641026,4.0,1.0,x,0.0043,2024-12-02 20:54:22.291040
11.0,10000.0,0.06025641025641026,4.0,1.0,z,0.0004,2024-12-02 20:54:22.292539
11.0,10000.0,0.06025641025641026,4.0,1.0,corr_z,0.0024,2024-12-02 20:54:22.293772
11.0,10000.0,0.06025641025641026,4.0,1.0,total,0.0047,2024-12-02 20:54:22.294945
11.0,10000.0,0.07282051282051281,4.0,1.0,x,0.009,2024-12-02 20:54:26.002348
11.0,10000.0,0.07282051282051281,4.0,1.0,z,0.002,2024-12-02 20:54:26.003998
11.0,10000.0,0.07282051282051281,4.0,1.0,corr_z,0.0035,2024-12-02 20:54:26.005190
11.0,10000.0,0.07282051282051281,4.0,1.0,total,0.011,2024-12-02 20:54:26.006385
11.0,10000.0,0.08538461538461538,4.0,1.0,x,0.0165,2024-12-02 20:54:29.749452
11.0,10000.0,0.08538461538461538,4.0,1.0,z,0.0039,2024-12-02 20:54:29.751056
11.0,10000.0,0.08538461538461538,4.0,1.0,corr_z,0.0083,2024-12-02 20:54:29.752266
11.0,10000.0,0.08538461538461538,4.0,1.0,total,0.0204,2024-12-02 20:54:29.753473
11.0,10000.0,0.09794871794871794,4.0,1.0,x,0.0337,2024-12-02 20:54:33.527186
11.0,10000.0,0.09794871794871794,4.0,1.0,z,0.0067,2024-12-02 20:54:33.528874
11.0,10000.0,0.09794871794871794,4.0,1.0,corr_z,0.0224,2024-12-02 20:54:33.530117
11.0,10000.0,0.09794871794871794,4.0,1.0,total,0.0404,2024-12-02 20:54:33.531342
11.0,10000.0,0.1105128205128205,4.0,1.0,x,0.0511,2024-12-02 20:54:37.362275
11.0,10000.0,0.1105128205128205,4.0,1.0,z,0.0139,2024-12-02 20:54:37.363899
11.0,10000.0,0.1105128205128205,4.0,1.0,corr_z,0.0312,2024-12-02 20:54:37.365126
11.0,10000.0,0.1105128205128205,4.0,1.0,total,0.065,2024-12-02 20:54:37.366350
11.0,10000.0,0.12307692307692307,4.0,1.0,x,0.0749,2024-12-02 20:54:41.223861
11.0,10000.0,0.12307692307692307,4.0,1.0,z,0.0271,2024-12-02 20:54:41.225484
11.0,10000.0,0.12307692307692307,4.0,1.0,corr_z,0.0526,2024-12-02 20:54:41.226648
11.0,10000.0,0.12307692307692307,4.0,1.0,total,0.102,2024-12-02 20:54:41.227717
11.0,10000.0,0.13564102564102565,4.0,1.0,x,0.1044,2024-12-02 20:54:45.115826
11.0,10000.0,0.13564102564102565,4.0,1.0,z,0.0407,2024-12-02 20:54:45.117536
11.0,10000.0,0.13564102564102565,4.0,1.0,corr_z,0.0736,2024-12-02 20:54:45.118681
11.0,10000.0,0.13564102564102565,4.0,1.0,total,0.1451,2024-12-02 20:54:45.119750
