d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,5.0,5.0,x,0.0,2024-08-23 09:43:48.938196
11.0,10000.0,0.01,5.0,5.0,z,0.0,2024-08-23 09:43:48.945023
11.0,10000.0,0.01,5.0,5.0,corr_z,0.0,2024-08-23 09:43:48.947648
11.0,10000.0,0.01,5.0,5.0,total,0.0,2024-08-23 09:43:48.950098
11.0,10000.0,0.022564102564102566,5.0,5.0,x,0.0,2024-08-23 09:43:58.167974
11.0,10000.0,0.022564102564102566,5.0,5.0,z,0.0,2024-08-23 09:43:58.171797
11.0,10000.0,0.022564102564102566,5.0,5.0,corr_z,0.0,2024-08-23 09:43:58.174573
11.0,10000.0,0.022564102564102566,5.0,5.0,total,0.0,2024-08-23 09:43:58.177176
11.0,10000.0,0.03512820512820513,5.0,5.0,x,0.0,2024-08-23 09:44:05.610213
11.0,10000.0,0.03512820512820513,5.0,5.0,z,0.0,2024-08-23 09:44:05.614229
11.0,10000.0,0.03512820512820513,5.0,5.0,corr_z,0.0003,2024-08-23 09:44:05.616375
11.0,10000.0,0.03512820512820513,5.0,5.0,total,0.0,2024-08-23 09:44:05.618385
11.0,10000.0,0.047692307692307694,5.0,5.0,x,0.0,2024-08-23 09:44:11.388064
11.0,10000.0,0.047692307692307694,5.0,5.0,z,0.0004,2024-08-23 09:44:11.390472
11.0,10000.0,0.047692307692307694,5.0,5.0,corr_z,0.0006,2024-08-23 09:44:11.391879
11.0,10000.0,0.047692307692307694,5.0,5.0,total,0.0004,2024-08-23 09:44:11.393196
11.0,10000.0,0.06025641025641026,5.0,5.0,x,0.0,2024-08-23 09:44:20.844208
11.0,10000.0,0.06025641025641026,5.0,5.0,z,0.0008,2024-08-23 09:44:20.847727
11.0,10000.0,0.06025641025641026,5.0,5.0,corr_z,0.0019,2024-08-23 09:44:20.850012
11.0,10000.0,0.06025641025641026,5.0,5.0,total,0.0008,2024-08-23 09:44:20.852147
11.0,10000.0,0.07282051282051281,5.0,5.0,x,0.0,2024-08-23 09:44:30.571663
11.0,10000.0,0.07282051282051281,5.0,5.0,z,0.0037,2024-08-23 09:44:30.574955
11.0,10000.0,0.07282051282051281,5.0,5.0,corr_z,0.0053,2024-08-23 09:44:30.577186
11.0,10000.0,0.07282051282051281,5.0,5.0,total,0.0037,2024-08-23 09:44:30.579302
11.0,10000.0,0.08538461538461538,5.0,5.0,x,0.0001,2024-08-23 09:44:40.353839
