d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,6.0,100.0,x,0.0,2024-08-19 09:36:48.528709
11.0,10000.0,0.01,6.0,100.0,z,0.0,2024-08-19 09:36:48.532257
11.0,10000.0,0.01,6.0,100.0,corr_z,0.0,2024-08-19 09:36:48.535265
11.0,10000.0,0.01,6.0,100.0,total,0.0,2024-08-19 09:36:48.538032
11.0,10000.0,0.022564102564102566,6.0,100.0,x,0.0,2024-08-19 09:36:55.275751
11.0,10000.0,0.022564102564102566,6.0,100.0,z,0.0,2024-08-19 09:36:55.279285
11.0,10000.0,0.022564102564102566,6.0,100.0,corr_z,0.0,2024-08-19 09:36:55.282106
11.0,10000.0,0.022564102564102566,6.0,100.0,total,0.0,2024-08-19 09:36:55.284842
11.0,10000.0,0.03512820512820513,6.0,100.0,x,0.0,2024-08-19 09:37:01.323659
11.0,10000.0,0.03512820512820513,6.0,100.0,z,0.0001,2024-08-19 09:37:01.327417
11.0,10000.0,0.03512820512820513,6.0,100.0,corr_z,0.0001,2024-08-19 09:37:01.330339
11.0,10000.0,0.03512820512820513,6.0,100.0,total,0.0001,2024-08-19 09:37:01.333690
11.0,10000.0,0.047692307692307694,6.0,100.0,x,0.0,2024-08-19 09:37:06.025125
11.0,10000.0,0.047692307692307694,6.0,100.0,z,0.0006,2024-08-19 09:37:06.030421
11.0,10000.0,0.047692307692307694,6.0,100.0,corr_z,0.0006,2024-08-19 09:37:06.034401
11.0,10000.0,0.047692307692307694,6.0,100.0,total,0.0006,2024-08-19 09:37:06.037811
11.0,10000.0,0.06025641025641026,6.0,100.0,x,0.0,2024-08-19 09:37:11.074392
11.0,10000.0,0.06025641025641026,6.0,100.0,z,0.0026,2024-08-19 09:37:11.076125
11.0,10000.0,0.06025641025641026,6.0,100.0,corr_z,0.0029,2024-08-19 09:37:11.077389
11.0,10000.0,0.06025641025641026,6.0,100.0,total,0.0026,2024-08-19 09:37:11.078602
11.0,10000.0,0.07282051282051281,6.0,100.0,x,0.0,2024-08-19 09:37:15.795646
11.0,10000.0,0.07282051282051281,6.0,100.0,z,0.004,2024-08-19 09:37:15.797853
11.0,10000.0,0.07282051282051281,6.0,100.0,corr_z,0.0042,2024-08-19 09:37:15.799692
11.0,10000.0,0.07282051282051281,6.0,100.0,total,0.004,2024-08-19 09:37:15.801342
11.0,10000.0,0.08538461538461538,6.0,100.0,x,0.0,2024-08-19 09:37:20.662710
11.0,10000.0,0.08538461538461538,6.0,100.0,z,0.0076,2024-08-19 09:37:20.665629
11.0,10000.0,0.08538461538461538,6.0,100.0,corr_z,0.0079,2024-08-19 09:37:20.667586
11.0,10000.0,0.08538461538461538,6.0,100.0,total,0.0076,2024-08-19 09:37:20.669374
11.0,10000.0,0.09794871794871794,6.0,100.0,x,0.0,2024-08-19 09:37:25.483903
11.0,10000.0,0.09794871794871794,6.0,100.0,z,0.0156,2024-08-19 09:37:25.485676
11.0,10000.0,0.09794871794871794,6.0,100.0,corr_z,0.0156,2024-08-19 09:37:25.486952
11.0,10000.0,0.09794871794871794,6.0,100.0,total,0.0156,2024-08-19 09:37:25.488166
11.0,10000.0,0.1105128205128205,6.0,100.0,x,0.0,2024-08-19 09:37:30.625042
11.0,10000.0,0.1105128205128205,6.0,100.0,z,0.0321,2024-08-19 09:37:30.626574
11.0,10000.0,0.1105128205128205,6.0,100.0,corr_z,0.0323,2024-08-19 09:37:30.627663
11.0,10000.0,0.1105128205128205,6.0,100.0,total,0.0321,2024-08-19 09:37:30.628731
11.0,10000.0,0.12307692307692307,6.0,100.0,x,0.0,2024-08-19 09:37:35.810639
11.0,10000.0,0.12307692307692307,6.0,100.0,z,0.0518,2024-08-19 09:37:35.812416
11.0,10000.0,0.12307692307692307,6.0,100.0,corr_z,0.053,2024-08-19 09:37:35.813693
11.0,10000.0,0.12307692307692307,6.0,100.0,total,0.0518,2024-08-19 09:37:35.814927
11.0,10000.0,0.13564102564102565,6.0,100.0,x,0.0,2024-08-19 09:37:40.753517
11.0,10000.0,0.13564102564102565,6.0,100.0,z,0.0756,2024-08-19 09:37:40.755136
11.0,10000.0,0.13564102564102565,6.0,100.0,corr_z,0.0764,2024-08-19 09:37:40.756270
11.0,10000.0,0.13564102564102565,6.0,100.0,total,0.0756,2024-08-19 09:37:40.757369
11.0,10000.0,0.1482051282051282,6.0,100.0,x,0.0,2024-08-19 09:37:47.066472
11.0,10000.0,0.1482051282051282,6.0,100.0,z,0.1089,2024-08-19 09:37:47.068321
11.0,10000.0,0.1482051282051282,6.0,100.0,corr_z,0.1116,2024-08-19 09:37:47.069578
11.0,10000.0,0.1482051282051282,6.0,100.0,total,0.1089,2024-08-19 09:37:47.070794
11.0,10000.0,0.16076923076923078,6.0,100.0,x,0.0,2024-08-19 09:37:53.026395
11.0,10000.0,0.16076923076923078,6.0,100.0,z,0.1462,2024-08-19 09:37:53.028167
11.0,10000.0,0.16076923076923078,6.0,100.0,corr_z,0.1493,2024-08-19 09:37:53.029447
11.0,10000.0,0.16076923076923078,6.0,100.0,total,0.1462,2024-08-19 09:37:53.030651
11.0,10000.0,0.17333333333333334,6.0,100.0,x,0.0,2024-08-19 09:37:58.224807
11.0,10000.0,0.17333333333333334,6.0,100.0,z,0.1978,2024-08-19 09:37:58.227096
11.0,10000.0,0.17333333333333334,6.0,100.0,corr_z,0.2007,2024-08-19 09:37:58.228835
11.0,10000.0,0.17333333333333334,6.0,100.0,total,0.1978,2024-08-19 09:37:58.230422
11.0,10000.0,0.1858974358974359,6.0,100.0,x,0.0,2024-08-19 09:38:03.973902
11.0,10000.0,0.1858974358974359,6.0,100.0,z,0.2423,2024-08-19 09:38:03.975515
11.0,10000.0,0.1858974358974359,6.0,100.0,corr_z,0.2438,2024-08-19 09:38:03.976619
11.0,10000.0,0.1858974358974359,6.0,100.0,total,0.2423,2024-08-19 09:38:03.977688
11.0,10000.0,0.19846153846153847,6.0,100.0,x,0.0,2024-08-19 09:38:10.103080
11.0,10000.0,0.19846153846153847,6.0,100.0,z,0.2773,2024-08-19 09:38:10.104693
11.0,10000.0,0.19846153846153847,6.0,100.0,corr_z,0.2796,2024-08-19 09:38:10.105835
11.0,10000.0,0.19846153846153847,6.0,100.0,total,0.2773,2024-08-19 09:38:10.106906
11.0,10000.0,0.21102564102564103,6.0,100.0,x,0.0,2024-08-19 09:38:15.580784
11.0,10000.0,0.21102564102564103,6.0,100.0,z,0.3318,2024-08-19 09:38:15.582826
11.0,10000.0,0.21102564102564103,6.0,100.0,corr_z,0.3303,2024-08-19 09:38:15.584440
11.0,10000.0,0.21102564102564103,6.0,100.0,total,0.3318,2024-08-19 09:38:15.585679
11.0,10000.0,0.2235897435897436,6.0,100.0,x,0.0,2024-08-19 09:38:21.201688
11.0,10000.0,0.2235897435897436,6.0,100.0,z,0.3631,2024-08-19 09:38:21.203467
11.0,10000.0,0.2235897435897436,6.0,100.0,corr_z,0.3658,2024-08-19 09:38:21.204780
11.0,10000.0,0.2235897435897436,6.0,100.0,total,0.3631,2024-08-19 09:38:21.206006
11.0,10000.0,0.23615384615384616,6.0,100.0,x,0.0,2024-08-19 09:38:26.434251
11.0,10000.0,0.23615384615384616,6.0,100.0,z,0.3954,2024-08-19 09:38:26.436888
11.0,10000.0,0.23615384615384616,6.0,100.0,corr_z,0.3974,2024-08-19 09:38:26.438684
11.0,10000.0,0.23615384615384616,6.0,100.0,total,0.3954,2024-08-19 09:38:26.440343
11.0,10000.0,0.24871794871794872,6.0,100.0,x,0.0,2024-08-19 09:38:31.734388
11.0,10000.0,0.24871794871794872,6.0,100.0,z,0.427,2024-08-19 09:38:31.736152
11.0,10000.0,0.24871794871794872,6.0,100.0,corr_z,0.4277,2024-08-19 09:38:31.737403
11.0,10000.0,0.24871794871794872,6.0,100.0,total,0.427,2024-08-19 09:38:31.738616
11.0,10000.0,0.2612820512820513,6.0,100.0,x,0.0,2024-08-19 09:38:38.140291
11.0,10000.0,0.2612820512820513,6.0,100.0,z,0.4473,2024-08-19 09:38:38.142148
11.0,10000.0,0.2612820512820513,6.0,100.0,corr_z,0.4473,2024-08-19 09:38:38.143412
11.0,10000.0,0.2612820512820513,6.0,100.0,total,0.4473,2024-08-19 09:38:38.144620
11.0,10000.0,0.27384615384615385,6.0,100.0,x,0.0,2024-08-19 09:38:43.792502
11.0,10000.0,0.27384615384615385,6.0,100.0,z,0.4768,2024-08-19 09:38:43.794243
11.0,10000.0,0.27384615384615385,6.0,100.0,corr_z,0.4772,2024-08-19 09:38:43.795516
11.0,10000.0,0.27384615384615385,6.0,100.0,total,0.4768,2024-08-19 09:38:43.796728
11.0,10000.0,0.2864102564102564,6.0,100.0,x,0.0,2024-08-19 09:38:49.094824
11.0,10000.0,0.2864102564102564,6.0,100.0,z,0.4796,2024-08-19 09:38:49.096680
11.0,10000.0,0.2864102564102564,6.0,100.0,corr_z,0.4792,2024-08-19 09:38:49.097961
11.0,10000.0,0.2864102564102564,6.0,100.0,total,0.4796,2024-08-19 09:38:49.099161
11.0,10000.0,0.298974358974359,6.0,100.0,x,0.0,2024-08-19 09:38:54.720575
11.0,10000.0,0.298974358974359,6.0,100.0,z,0.4863,2024-08-19 09:38:54.722427
11.0,10000.0,0.298974358974359,6.0,100.0,corr_z,0.4849,2024-08-19 09:38:54.723703
11.0,10000.0,0.298974358974359,6.0,100.0,total,0.4863,2024-08-19 09:38:54.724906
11.0,10000.0,0.31153846153846154,6.0,100.0,x,0.0,2024-08-19 09:39:00.187370
11.0,10000.0,0.31153846153846154,6.0,100.0,z,0.4966,2024-08-19 09:39:00.189575
11.0,10000.0,0.31153846153846154,6.0,100.0,corr_z,0.4987,2024-08-19 09:39:00.191169
11.0,10000.0,0.31153846153846154,6.0,100.0,total,0.4966,2024-08-19 09:39:00.192661
11.0,10000.0,0.3241025641025641,6.0,100.0,x,0.0,2024-08-19 09:39:05.893469
11.0,10000.0,0.3241025641025641,6.0,100.0,z,0.5011,2024-08-19 09:39:05.895203
11.0,10000.0,0.3241025641025641,6.0,100.0,corr_z,0.5029,2024-08-19 09:39:05.896474
11.0,10000.0,0.3241025641025641,6.0,100.0,total,0.5011,2024-08-19 09:39:05.897703
11.0,10000.0,0.33666666666666667,6.0,100.0,x,0.0,2024-08-19 09:39:11.285778
11.0,10000.0,0.33666666666666667,6.0,100.0,z,0.5047,2024-08-19 09:39:11.287416
11.0,10000.0,0.33666666666666667,6.0,100.0,corr_z,0.5051,2024-08-19 09:39:11.288513
11.0,10000.0,0.33666666666666667,6.0,100.0,total,0.5047,2024-08-19 09:39:11.289583
11.0,10000.0,0.34923076923076923,6.0,100.0,x,0.0,2024-08-19 09:39:16.686025
11.0,10000.0,0.34923076923076923,6.0,100.0,z,0.497,2024-08-19 09:39:16.687879
11.0,10000.0,0.34923076923076923,6.0,100.0,corr_z,0.4962,2024-08-19 09:39:16.689143
11.0,10000.0,0.34923076923076923,6.0,100.0,total,0.497,2024-08-19 09:39:16.690376
11.0,10000.0,0.3617948717948718,6.0,100.0,x,0.0,2024-08-19 09:39:22.071665
11.0,10000.0,0.3617948717948718,6.0,100.0,z,0.5016,2024-08-19 09:39:22.073386
11.0,10000.0,0.3617948717948718,6.0,100.0,corr_z,0.5034,2024-08-19 09:39:22.074654
11.0,10000.0,0.3617948717948718,6.0,100.0,total,0.5016,2024-08-19 09:39:22.075823
11.0,10000.0,0.37435897435897436,6.0,100.0,x,0.0,2024-08-19 09:39:27.730030
11.0,10000.0,0.37435897435897436,6.0,100.0,z,0.4991,2024-08-19 09:39:27.731829
11.0,10000.0,0.37435897435897436,6.0,100.0,corr_z,0.4988,2024-08-19 09:39:27.733093
11.0,10000.0,0.37435897435897436,6.0,100.0,total,0.4991,2024-08-19 09:39:27.734319
11.0,10000.0,0.3869230769230769,6.0,100.0,x,0.0,2024-08-19 09:39:33.539565
11.0,10000.0,0.3869230769230769,6.0,100.0,z,0.4992,2024-08-19 09:39:33.541580
11.0,10000.0,0.3869230769230769,6.0,100.0,corr_z,0.5031,2024-08-19 09:39:33.542914
11.0,10000.0,0.3869230769230769,6.0,100.0,total,0.4992,2024-08-19 09:39:33.544154
11.0,10000.0,0.3994871794871795,6.0,100.0,x,0.0,2024-08-19 09:39:39.332614
11.0,10000.0,0.3994871794871795,6.0,100.0,z,0.5026,2024-08-19 09:39:39.334363
11.0,10000.0,0.3994871794871795,6.0,100.0,corr_z,0.4998,2024-08-19 09:39:39.335590
11.0,10000.0,0.3994871794871795,6.0,100.0,total,0.5026,2024-08-19 09:39:39.336795
11.0,10000.0,0.41205128205128205,6.0,100.0,x,0.0,2024-08-19 09:39:44.693959
11.0,10000.0,0.41205128205128205,6.0,100.0,z,0.5,2024-08-19 09:39:44.695646
