d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,3.0,5.0,x,0.0,2024-12-03 18:06:33.956523
11.0,10000.0,0.01,3.0,5.0,z,0.0,2024-12-03 18:06:33.961491
11.0,10000.0,0.01,3.0,5.0,corr_z,0.0,2024-12-03 18:06:33.963466
11.0,10000.0,0.01,3.0,5.0,total,0.0,2024-12-03 18:06:33.965333
11.0,10000.0,0.022564102564102566,3.0,5.0,x,0.0,2024-12-03 18:06:40.771447
11.0,10000.0,0.022564102564102566,3.0,5.0,z,0.0001,2024-12-03 18:06:40.774132
11.0,10000.0,0.022564102564102566,3.0,5.0,corr_z,0.0,2024-12-03 18:06:40.775984
11.0,10000.0,0.022564102564102566,3.0,5.0,total,0.0001,2024-12-03 18:06:40.777786
11.0,10000.0,0.03512820512820513,3.0,5.0,x,0.0,2024-12-03 18:06:47.608999
11.0,10000.0,0.03512820512820513,3.0,5.0,z,0.0001,2024-12-03 18:06:47.611652
11.0,10000.0,0.03512820512820513,3.0,5.0,corr_z,0.0,2024-12-03 18:06:47.613525
11.0,10000.0,0.03512820512820513,3.0,5.0,total,0.0001,2024-12-03 18:06:47.615292
11.0,10000.0,0.047692307692307694,3.0,5.0,x,0.0,2024-12-03 18:06:53.903629
11.0,10000.0,0.047692307692307694,3.0,5.0,z,0.0004,2024-12-03 18:06:53.905623
11.0,10000.0,0.047692307692307694,3.0,5.0,corr_z,0.0,2024-12-03 18:06:53.906906
11.0,10000.0,0.047692307692307694,3.0,5.0,total,0.0004,2024-12-03 18:06:53.908143
11.0,10000.0,0.06025641025641026,3.0,5.0,x,0.0,2024-12-03 18:06:58.111621
11.0,10000.0,0.06025641025641026,3.0,5.0,z,0.0044,2024-12-03 18:06:58.113635
11.0,10000.0,0.06025641025641026,3.0,5.0,corr_z,0.0,2024-12-03 18:06:58.114930
11.0,10000.0,0.06025641025641026,3.0,5.0,total,0.0044,2024-12-03 18:06:58.116146
11.0,10000.0,0.07282051282051281,3.0,5.0,x,0.0,2024-12-03 18:07:02.348277
11.0,10000.0,0.07282051282051281,3.0,5.0,z,0.0104,2024-12-03 18:07:02.350247
11.0,10000.0,0.07282051282051281,3.0,5.0,corr_z,0.0002,2024-12-03 18:07:02.351528
11.0,10000.0,0.07282051282051281,3.0,5.0,total,0.0104,2024-12-03 18:07:02.352764
11.0,10000.0,0.08538461538461538,3.0,5.0,x,0.0001,2024-12-03 18:07:06.631996
11.0,10000.0,0.08538461538461538,3.0,5.0,z,0.021,2024-12-03 18:07:06.634017
