d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,4.0,5.0,x,0.0,2024-12-02 21:33:35.189427
11.0,10000.0,0.01,4.0,5.0,z,0.0,2024-12-02 21:33:35.193213
11.0,10000.0,0.01,4.0,5.0,corr_z,0.0,2024-12-02 21:33:35.194538
11.0,10000.0,0.01,4.0,5.0,total,0.0,2024-12-02 21:33:35.195753
11.0,10000.0,0.022564102564102566,4.0,5.0,x,0.0,2024-12-02 21:33:39.106601
11.0,10000.0,0.022564102564102566,4.0,5.0,z,0.0,2024-12-02 21:33:39.108532
11.0,10000.0,0.022564102564102566,4.0,5.0,corr_z,0.0,2024-12-02 21:33:39.109793
11.0,10000.0,0.022564102564102566,4.0,5.0,total,0.0,2024-12-02 21:33:39.111010
11.0,10000.0,0.03512820512820513,4.0,5.0,x,0.0,2024-12-02 21:33:43.055153
11.0,10000.0,0.03512820512820513,4.0,5.0,z,0.0,2024-12-02 21:33:43.057041
11.0,10000.0,0.03512820512820513,4.0,5.0,corr_z,0.0,2024-12-02 21:33:43.058247
11.0,10000.0,0.03512820512820513,4.0,5.0,total,0.0,2024-12-02 21:33:43.059482
11.0,10000.0,0.047692307692307694,4.0,5.0,x,0.0,2024-12-02 21:33:47.012777
11.0,10000.0,0.047692307692307694,4.0,5.0,z,0.0,2024-12-02 21:33:47.014810
11.0,10000.0,0.047692307692307694,4.0,5.0,corr_z,0.0001,2024-12-02 21:33:47.016120
11.0,10000.0,0.047692307692307694,4.0,5.0,total,0.0,2024-12-02 21:33:47.017357
11.0,10000.0,0.06025641025641026,4.0,5.0,x,0.0,2024-12-02 21:33:51.022294
11.0,10000.0,0.06025641025641026,4.0,5.0,z,0.0018,2024-12-02 21:33:51.024251
11.0,10000.0,0.06025641025641026,4.0,5.0,corr_z,0.0,2024-12-02 21:33:51.025480
11.0,10000.0,0.06025641025641026,4.0,5.0,total,0.0018,2024-12-02 21:33:51.026701
11.0,10000.0,0.07282051282051281,4.0,5.0,x,0.0,2024-12-02 21:33:55.046712
11.0,10000.0,0.07282051282051281,4.0,5.0,z,0.0044,2024-12-02 21:33:55.048648
11.0,10000.0,0.07282051282051281,4.0,5.0,corr_z,0.0003,2024-12-02 21:33:55.049906
11.0,10000.0,0.07282051282051281,4.0,5.0,total,0.0044,2024-12-02 21:33:55.051118
11.0,10000.0,0.08538461538461538,4.0,5.0,x,0.0,2024-12-02 21:33:59.098269
11.0,10000.0,0.08538461538461538,4.0,5.0,z,0.0121,2024-12-02 21:33:59.100245
11.0,10000.0,0.08538461538461538,4.0,5.0,corr_z,0.0005,2024-12-02 21:33:59.101498
11.0,10000.0,0.08538461538461538,4.0,5.0,total,0.0121,2024-12-02 21:33:59.102737
11.0,10000.0,0.09794871794871794,4.0,5.0,x,0.0001,2024-12-02 21:34:04.252318
11.0,10000.0,0.09794871794871794,4.0,5.0,z,0.0224,2024-12-02 21:34:04.254797
11.0,10000.0,0.09794871794871794,4.0,5.0,corr_z,0.0012,2024-12-02 21:34:04.256437
11.0,10000.0,0.09794871794871794,4.0,5.0,total,0.0225,2024-12-02 21:34:04.257983
11.0,10000.0,0.1105128205128205,4.0,5.0,x,0.0004,2024-12-02 21:34:12.018624
11.0,10000.0,0.1105128205128205,4.0,5.0,z,0.0372,2024-12-02 21:34:12.021522
11.0,10000.0,0.1105128205128205,4.0,5.0,corr_z,0.0029,2024-12-02 21:34:12.023686
11.0,10000.0,0.1105128205128205,4.0,5.0,total,0.0376,2024-12-02 21:34:12.025767
11.0,10000.0,0.12307692307692307,4.0,5.0,x,0.0006,2024-12-02 21:34:19.995019
11.0,10000.0,0.12307692307692307,4.0,5.0,z,0.0594,2024-12-02 21:34:19.997836
11.0,10000.0,0.12307692307692307,4.0,5.0,corr_z,0.0049,2024-12-02 21:34:19.999981
11.0,10000.0,0.12307692307692307,4.0,5.0,total,0.06,2024-12-02 21:34:20.002090
11.0,10000.0,0.13564102564102565,4.0,5.0,x,0.0011,2024-12-02 21:34:27.979537
11.0,10000.0,0.13564102564102565,4.0,5.0,z,0.091,2024-12-02 21:34:27.982546
11.0,10000.0,0.13564102564102565,4.0,5.0,corr_z,0.0086,2024-12-02 21:34:27.984752
11.0,10000.0,0.13564102564102565,4.0,5.0,total,0.0921,2024-12-02 21:34:27.986864
11.0,10000.0,0.1482051282051282,4.0,5.0,x,0.0017,2024-12-02 21:34:35.989853
11.0,10000.0,0.1482051282051282,4.0,5.0,z,0.1293,2024-12-02 21:34:35.992820
11.0,10000.0,0.1482051282051282,4.0,5.0,corr_z,0.0129,2024-12-02 21:34:35.995022
11.0,10000.0,0.1482051282051282,4.0,5.0,total,0.131,2024-12-02 21:34:35.997170
11.0,10000.0,0.16076923076923078,4.0,5.0,x,0.0017,2024-12-02 21:34:44.101940
11.0,10000.0,0.16076923076923078,4.0,5.0,z,0.172,2024-12-02 21:34:44.104975
11.0,10000.0,0.16076923076923078,4.0,5.0,corr_z,0.0195,2024-12-02 21:34:44.107171
11.0,10000.0,0.16076923076923078,4.0,5.0,total,0.1737,2024-12-02 21:34:44.109267
11.0,10000.0,0.17333333333333334,4.0,5.0,x,0.003,2024-12-02 21:34:52.204347
11.0,10000.0,0.17333333333333334,4.0,5.0,z,0.2133,2024-12-02 21:34:52.207381
11.0,10000.0,0.17333333333333334,4.0,5.0,corr_z,0.027,2024-12-02 21:34:52.209630
11.0,10000.0,0.17333333333333334,4.0,5.0,total,0.2163,2024-12-02 21:34:52.211776
11.0,10000.0,0.1858974358974359,4.0,5.0,x,0.0037,2024-12-02 21:35:00.291669
11.0,10000.0,0.1858974358974359,4.0,5.0,z,0.2611,2024-12-02 21:35:00.294416
11.0,10000.0,0.1858974358974359,4.0,5.0,corr_z,0.0371,2024-12-02 21:35:00.296398
11.0,10000.0,0.1858974358974359,4.0,5.0,total,0.2648,2024-12-02 21:35:00.298312
11.0,10000.0,0.19846153846153847,4.0,5.0,x,0.006,2024-12-02 21:35:08.515413
11.0,10000.0,0.19846153846153847,4.0,5.0,z,0.3057,2024-12-02 21:35:08.518430
11.0,10000.0,0.19846153846153847,4.0,5.0,corr_z,0.0547,2024-12-02 21:35:08.520664
11.0,10000.0,0.19846153846153847,4.0,5.0,total,0.3117,2024-12-02 21:35:08.522761
11.0,10000.0,0.21102564102564103,4.0,5.0,x,0.0089,2024-12-02 21:35:16.734409
11.0,10000.0,0.21102564102564103,4.0,5.0,z,0.3462,2024-12-02 21:35:16.737405
11.0,10000.0,0.21102564102564103,4.0,5.0,corr_z,0.0655,2024-12-02 21:35:16.739612
11.0,10000.0,0.21102564102564103,4.0,5.0,total,0.3551,2024-12-02 21:35:16.741721
11.0,10000.0,0.2235897435897436,4.0,5.0,x,0.0113,2024-12-02 21:35:24.153037
11.0,10000.0,0.2235897435897436,4.0,5.0,z,0.3765,2024-12-02 21:35:24.155056
11.0,10000.0,0.2235897435897436,4.0,5.0,corr_z,0.0864,2024-12-02 21:35:24.156397
11.0,10000.0,0.2235897435897436,4.0,5.0,total,0.3878,2024-12-02 21:35:24.157675
11.0,10000.0,0.23615384615384616,4.0,5.0,x,0.0133,2024-12-02 21:35:30.074305
11.0,10000.0,0.23615384615384616,4.0,5.0,z,0.4113,2024-12-02 21:35:30.077137
11.0,10000.0,0.23615384615384616,4.0,5.0,corr_z,0.0945,2024-12-02 21:35:30.079039
11.0,10000.0,0.23615384615384616,4.0,5.0,total,0.4246,2024-12-02 21:35:30.080906
11.0,10000.0,0.24871794871794872,4.0,5.0,x,0.0174,2024-12-02 21:35:37.377542
11.0,10000.0,0.24871794871794872,4.0,5.0,z,0.43,2024-12-02 21:35:37.380217
11.0,10000.0,0.24871794871794872,4.0,5.0,corr_z,0.1166,2024-12-02 21:35:37.382224
11.0,10000.0,0.24871794871794872,4.0,5.0,total,0.4474,2024-12-02 21:35:37.384253
11.0,10000.0,0.2612820512820513,4.0,5.0,x,0.0208,2024-12-02 21:35:44.721069
11.0,10000.0,0.2612820512820513,4.0,5.0,z,0.4626,2024-12-02 21:35:44.723755
11.0,10000.0,0.2612820512820513,4.0,5.0,corr_z,0.1334,2024-12-02 21:35:44.725706
11.0,10000.0,0.2612820512820513,4.0,5.0,total,0.4834,2024-12-02 21:35:44.727408
11.0,10000.0,0.27384615384615385,4.0,5.0,x,0.0243,2024-12-02 21:35:52.085173
11.0,10000.0,0.27384615384615385,4.0,5.0,z,0.4727,2024-12-02 21:35:52.087854
11.0,10000.0,0.27384615384615385,4.0,5.0,corr_z,0.1543,2024-12-02 21:35:52.089784
11.0,10000.0,0.27384615384615385,4.0,5.0,total,0.497,2024-12-02 21:35:52.091527
11.0,10000.0,0.2864102564102564,4.0,5.0,x,0.0285,2024-12-02 21:35:59.882653
11.0,10000.0,0.2864102564102564,4.0,5.0,z,0.477,2024-12-02 21:35:59.885700
11.0,10000.0,0.2864102564102564,4.0,5.0,corr_z,0.1746,2024-12-02 21:35:59.887828
11.0,10000.0,0.2864102564102564,4.0,5.0,total,0.5055,2024-12-02 21:35:59.889867
11.0,10000.0,0.298974358974359,4.0,5.0,x,0.0352,2024-12-02 21:36:08.305102
11.0,10000.0,0.298974358974359,4.0,5.0,z,0.4809,2024-12-02 21:36:08.308117
11.0,10000.0,0.298974358974359,4.0,5.0,corr_z,0.1945,2024-12-02 21:36:08.310244
11.0,10000.0,0.298974358974359,4.0,5.0,total,0.5161,2024-12-02 21:36:08.312313
11.0,10000.0,0.31153846153846154,4.0,5.0,x,0.0388,2024-12-02 21:36:16.752317
11.0,10000.0,0.31153846153846154,4.0,5.0,z,0.492,2024-12-02 21:36:16.755268
11.0,10000.0,0.31153846153846154,4.0,5.0,corr_z,0.2091,2024-12-02 21:36:16.757418
11.0,10000.0,0.31153846153846154,4.0,5.0,total,0.5308,2024-12-02 21:36:16.759446
11.0,10000.0,0.3241025641025641,4.0,5.0,x,0.048,2024-12-02 21:36:25.209202
11.0,10000.0,0.3241025641025641,4.0,5.0,z,0.4875,2024-12-02 21:36:25.212188
11.0,10000.0,0.3241025641025641,4.0,5.0,corr_z,0.2213,2024-12-02 21:36:25.214336
11.0,10000.0,0.3241025641025641,4.0,5.0,total,0.5355,2024-12-02 21:36:25.216363
11.0,10000.0,0.33666666666666667,4.0,5.0,x,0.0531,2024-12-02 21:36:33.733332
11.0,10000.0,0.33666666666666667,4.0,5.0,z,0.4919,2024-12-02 21:36:33.736249
11.0,10000.0,0.33666666666666667,4.0,5.0,corr_z,0.2424,2024-12-02 21:36:33.738340
11.0,10000.0,0.33666666666666667,4.0,5.0,total,0.545,2024-12-02 21:36:33.740344
11.0,10000.0,0.34923076923076923,4.0,5.0,x,0.0643,2024-12-02 21:36:42.263627
11.0,10000.0,0.34923076923076923,4.0,5.0,z,0.5019,2024-12-02 21:36:42.266545
11.0,10000.0,0.34923076923076923,4.0,5.0,corr_z,0.2598,2024-12-02 21:36:42.268762
11.0,10000.0,0.34923076923076923,4.0,5.0,total,0.5662,2024-12-02 21:36:42.270831
11.0,10000.0,0.3617948717948718,4.0,5.0,x,0.0694,2024-12-02 21:36:50.799417
11.0,10000.0,0.3617948717948718,4.0,5.0,z,0.4971,2024-12-02 21:36:50.802689
11.0,10000.0,0.3617948717948718,4.0,5.0,corr_z,0.2715,2024-12-02 21:36:50.804957
11.0,10000.0,0.3617948717948718,4.0,5.0,total,0.5665,2024-12-02 21:36:50.807096
11.0,10000.0,0.37435897435897436,4.0,5.0,x,0.0779,2024-12-02 21:36:59.384319
