d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,5.0,0.5,x,0.0,2024-08-20 17:12:40.314069
11.0,10000.0,0.01,5.0,0.5,z,0.0,2024-08-20 17:12:40.318297
11.0,10000.0,0.01,5.0,0.5,corr_z,0.0,2024-08-20 17:12:40.320916
11.0,10000.0,0.01,5.0,0.5,total,0.0,2024-08-20 17:12:40.323314
11.0,10000.0,0.022564102564102566,5.0,0.5,x,0.0002,2024-08-20 17:12:45.298588
11.0,10000.0,0.022564102564102566,5.0,0.5,z,0.0,2024-08-20 17:12:45.300621
11.0,10000.0,0.022564102564102566,5.0,0.5,corr_z,0.0,2024-08-20 17:12:45.301872
11.0,10000.0,0.022564102564102566,5.0,0.5,total,0.0002,2024-08-20 17:12:45.303107
11.0,10000.0,0.03512820512820513,5.0,0.5,x,0.0011,2024-08-20 17:12:50.060445
11.0,10000.0,0.03512820512820513,5.0,0.5,z,0.0,2024-08-20 17:12:50.062406
11.0,10000.0,0.03512820512820513,5.0,0.5,corr_z,0.0,2024-08-20 17:12:50.063649
11.0,10000.0,0.03512820512820513,5.0,0.5,total,0.0011,2024-08-20 17:12:50.064864
11.0,10000.0,0.047692307692307694,5.0,0.5,x,0.0088,2024-08-20 17:12:58.435832
11.0,10000.0,0.047692307692307694,5.0,0.5,z,0.0,2024-08-20 17:12:58.438860
11.0,10000.0,0.047692307692307694,5.0,0.5,corr_z,0.0004,2024-08-20 17:12:58.440929
11.0,10000.0,0.047692307692307694,5.0,0.5,total,0.0088,2024-08-20 17:12:58.442853
11.0,10000.0,0.06025641025641026,5.0,0.5,x,0.0212,2024-08-20 17:13:07.222595
11.0,10000.0,0.06025641025641026,5.0,0.5,z,0.0002,2024-08-20 17:13:07.225515
11.0,10000.0,0.06025641025641026,5.0,0.5,corr_z,0.0008,2024-08-20 17:13:07.227557
11.0,10000.0,0.06025641025641026,5.0,0.5,total,0.0214,2024-08-20 17:13:07.229478
11.0,10000.0,0.07282051282051281,5.0,0.5,x,0.0422,2024-08-20 17:13:16.078876
