d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,2.0,1.0,x,0.0,2024-12-04 13:07:06.809605
11.0,10000.0,0.01,2.0,1.0,z,0.0,2024-12-04 13:07:06.812677
11.0,10000.0,0.01,2.0,1.0,corr_z,0.0,2024-12-04 13:07:06.814013
11.0,10000.0,0.01,2.0,1.0,total,0.0,2024-12-04 13:07:06.815216
11.0,10000.0,0.022564102564102566,2.0,1.0,x,0.0,2024-12-04 13:07:10.795103
11.0,10000.0,0.022564102564102566,2.0,1.0,z,0.0001,2024-12-04 13:07:10.796708
11.0,10000.0,0.022564102564102566,2.0,1.0,corr_z,0.0,2024-12-04 13:07:10.797852
11.0,10000.0,0.022564102564102566,2.0,1.0,total,0.0001,2024-12-04 13:07:10.798932
11.0,10000.0,0.03512820512820513,2.0,1.0,x,0.0,2024-12-04 13:07:14.564092
11.0,10000.0,0.03512820512820513,2.0,1.0,z,0.0005,2024-12-04 13:07:14.565769
11.0,10000.0,0.03512820512820513,2.0,1.0,corr_z,0.0,2024-12-04 13:07:14.566924
11.0,10000.0,0.03512820512820513,2.0,1.0,total,0.0005,2024-12-04 13:07:14.568026
11.0,10000.0,0.047692307692307694,2.0,1.0,x,0.0,2024-12-04 13:07:18.356522
11.0,10000.0,0.047692307692307694,2.0,1.0,z,0.0014,2024-12-04 13:07:18.358076
11.0,10000.0,0.047692307692307694,2.0,1.0,corr_z,0.0,2024-12-04 13:07:18.359182
11.0,10000.0,0.047692307692307694,2.0,1.0,total,0.0014,2024-12-04 13:07:18.360240
11.0,10000.0,0.06025641025641026,2.0,1.0,x,0.0001,2024-12-04 13:07:22.204214
11.0,10000.0,0.06025641025641026,2.0,1.0,z,0.0043,2024-12-04 13:07:22.205728
11.0,10000.0,0.06025641025641026,2.0,1.0,corr_z,0.0004,2024-12-04 13:07:22.206831
11.0,10000.0,0.06025641025641026,2.0,1.0,total,0.0044,2024-12-04 13:07:22.208017
11.0,10000.0,0.07282051282051281,2.0,1.0,x,0.0014,2024-12-04 13:07:26.094669
11.0,10000.0,0.07282051282051281,2.0,1.0,z,0.011,2024-12-04 13:07:26.096319
11.0,10000.0,0.07282051282051281,2.0,1.0,corr_z,0.0012,2024-12-04 13:07:26.097432
11.0,10000.0,0.07282051282051281,2.0,1.0,total,0.0124,2024-12-04 13:07:26.098507
11.0,10000.0,0.08538461538461538,2.0,1.0,x,0.0032,2024-12-04 13:07:30.541424
11.0,10000.0,0.08538461538461538,2.0,1.0,z,0.0234,2024-12-04 13:07:30.543564
11.0,10000.0,0.08538461538461538,2.0,1.0,corr_z,0.0036,2024-12-04 13:07:30.544957
11.0,10000.0,0.08538461538461538,2.0,1.0,total,0.0266,2024-12-04 13:07:30.546282
11.0,10000.0,0.09794871794871794,2.0,1.0,x,0.0048,2024-12-04 13:07:35.440349
11.0,10000.0,0.09794871794871794,2.0,1.0,z,0.0394,2024-12-04 13:07:35.442567
11.0,10000.0,0.09794871794871794,2.0,1.0,corr_z,0.0054,2024-12-04 13:07:35.444024
11.0,10000.0,0.09794871794871794,2.0,1.0,total,0.0442,2024-12-04 13:07:35.445406
11.0,10000.0,0.1105128205128205,2.0,1.0,x,0.0117,2024-12-04 13:07:40.022816
11.0,10000.0,0.1105128205128205,2.0,1.0,z,0.0677,2024-12-04 13:07:40.025020
11.0,10000.0,0.1105128205128205,2.0,1.0,corr_z,0.0128,2024-12-04 13:07:40.026729
11.0,10000.0,0.1105128205128205,2.0,1.0,total,0.0794,2024-12-04 13:07:40.028034
11.0,10000.0,0.12307692307692307,2.0,1.0,x,0.0181,2024-12-04 13:07:44.166554
11.0,10000.0,0.12307692307692307,2.0,1.0,z,0.0979,2024-12-04 13:07:44.168072
11.0,10000.0,0.12307692307692307,2.0,1.0,corr_z,0.0222,2024-12-04 13:07:44.169173
11.0,10000.0,0.12307692307692307,2.0,1.0,total,0.116,2024-12-04 13:07:44.170249
11.0,10000.0,0.13564102564102565,2.0,1.0,x,0.0326,2024-12-04 13:07:48.336890
11.0,10000.0,0.13564102564102565,2.0,1.0,z,0.1397,2024-12-04 13:07:48.338348
11.0,10000.0,0.13564102564102565,2.0,1.0,corr_z,0.041,2024-12-04 13:07:48.339431
11.0,10000.0,0.13564102564102565,2.0,1.0,total,0.1723,2024-12-04 13:07:48.340484
11.0,10000.0,0.1482051282051282,2.0,1.0,x,0.0395,2024-12-04 13:07:52.674117
