d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,3.0,100.0,x,0.0,2024-12-03 17:11:30.147019
11.0,10000.0,0.01,3.0,100.0,z,0.0,2024-12-03 17:11:30.151814
11.0,10000.0,0.01,3.0,100.0,corr_z,0.0,2024-12-03 17:11:30.153775
11.0,10000.0,0.01,3.0,100.0,total,0.0,2024-12-03 17:11:30.155637
11.0,10000.0,0.022564102564102566,3.0,100.0,x,0.0,2024-12-03 17:11:36.017915
11.0,10000.0,0.022564102564102566,3.0,100.0,z,0.0001,2024-12-03 17:11:36.020829
11.0,10000.0,0.022564102564102566,3.0,100.0,corr_z,0.0,2024-12-03 17:11:36.022994
11.0,10000.0,0.022564102564102566,3.0,100.0,total,0.0001,2024-12-03 17:11:36.025067
11.0,10000.0,0.03512820512820513,3.0,100.0,x,0.0,2024-12-03 17:11:43.962091
11.0,10000.0,0.03512820512820513,3.0,100.0,z,0.0002,2024-12-03 17:11:43.965007
11.0,10000.0,0.03512820512820513,3.0,100.0,corr_z,0.0,2024-12-03 17:11:43.967079
11.0,10000.0,0.03512820512820513,3.0,100.0,total,0.0002,2024-12-03 17:11:43.969127
11.0,10000.0,0.047692307692307694,3.0,100.0,x,0.0,2024-12-03 17:11:51.969987
11.0,10000.0,0.047692307692307694,3.0,100.0,z,0.0017,2024-12-03 17:11:51.972879
11.0,10000.0,0.047692307692307694,3.0,100.0,corr_z,0.0,2024-12-03 17:11:51.975023
11.0,10000.0,0.047692307692307694,3.0,100.0,total,0.0017,2024-12-03 17:11:51.977038
11.0,10000.0,0.06025641025641026,3.0,100.0,x,0.0,2024-12-03 17:11:59.986187
11.0,10000.0,0.06025641025641026,3.0,100.0,z,0.0048,2024-12-03 17:11:59.989111
11.0,10000.0,0.06025641025641026,3.0,100.0,corr_z,0.0,2024-12-03 17:11:59.991221
11.0,10000.0,0.06025641025641026,3.0,100.0,total,0.0048,2024-12-03 17:11:59.993282
