d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,100.0,0.01,5.0,100.0,x,0.0,2024-08-19 13:22:53.831808
11.0,100.0,0.01,5.0,100.0,z,0.0,2024-08-19 13:22:53.834816
11.0,100.0,0.01,5.0,100.0,corr_z,0.0,2024-08-19 13:22:53.836173
11.0,100.0,0.01,5.0,100.0,total,0.0,2024-08-19 13:22:53.837354
11.0,100.0,0.022564102564102566,5.0,100.0,x,0.0,2024-08-19 13:22:53.892395
11.0,100.0,0.022564102564102566,5.0,100.0,z,0.0,2024-08-19 13:22:53.893960
11.0,100.0,0.022564102564102566,5.0,100.0,corr_z,0.0,2024-08-19 13:22:53.895147
11.0,100.0,0.022564102564102566,5.0,100.0,total,0.0,2024-08-19 13:22:53.896307
11.0,100.0,0.03512820512820513,5.0,100.0,x,0.0,2024-08-19 13:22:53.950902
11.0,100.0,0.03512820512820513,5.0,100.0,z,0.0,2024-08-19 13:22:53.952408
11.0,100.0,0.03512820512820513,5.0,100.0,corr_z,0.0,2024-08-19 13:22:53.953594
11.0,100.0,0.03512820512820513,5.0,100.0,total,0.0,2024-08-19 13:22:53.954745
11.0,100.0,0.047692307692307694,5.0,100.0,x,0.0,2024-08-19 13:22:54.009984
11.0,100.0,0.047692307692307694,5.0,100.0,z,0.0,2024-08-19 13:22:54.011536
11.0,100.0,0.047692307692307694,5.0,100.0,corr_z,0.0,2024-08-19 13:22:54.012717
11.0,100.0,0.047692307692307694,5.0,100.0,total,0.0,2024-08-19 13:22:54.013893
11.0,100.0,0.06025641025641026,5.0,100.0,x,0.0,2024-08-19 13:22:54.066331
11.0,100.0,0.06025641025641026,5.0,100.0,z,0.0,2024-08-19 13:22:54.067734
11.0,100.0,0.06025641025641026,5.0,100.0,corr_z,0.0,2024-08-19 13:22:54.068918
11.0,100.0,0.06025641025641026,5.0,100.0,total,0.0,2024-08-19 13:22:54.070043
11.0,100.0,0.07282051282051281,5.0,100.0,x,0.0,2024-08-19 13:22:54.124939
11.0,100.0,0.07282051282051281,5.0,100.0,z,0.01,2024-08-19 13:22:54.126569
11.0,100.0,0.07282051282051281,5.0,100.0,corr_z,0.01,2024-08-19 13:22:54.127837
11.0,100.0,0.07282051282051281,5.0,100.0,total,0.01,2024-08-19 13:22:54.129113
11.0,100.0,0.08538461538461538,5.0,100.0,x,0.0,2024-08-19 13:22:54.181743
11.0,100.0,0.08538461538461538,5.0,100.0,z,0.0,2024-08-19 13:22:54.183294
11.0,100.0,0.08538461538461538,5.0,100.0,corr_z,0.0,2024-08-19 13:22:54.184495
11.0,100.0,0.08538461538461538,5.0,100.0,total,0.0,2024-08-19 13:22:54.185663
11.0,100.0,0.09794871794871794,5.0,100.0,x,0.0,2024-08-19 13:22:54.243457
11.0,100.0,0.09794871794871794,5.0,100.0,z,0.02,2024-08-19 13:22:54.245025
11.0,100.0,0.09794871794871794,5.0,100.0,corr_z,0.02,2024-08-19 13:22:54.246225
11.0,100.0,0.09794871794871794,5.0,100.0,total,0.02,2024-08-19 13:22:54.247379
11.0,100.0,0.1105128205128205,5.0,100.0,x,0.0,2024-08-19 13:22:54.298072
