d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,3.0,1.0,x,0.0,2024-12-03 18:47:48.270732
11.0,10000.0,0.01,3.0,1.0,z,0.0,2024-12-03 18:47:48.275715
11.0,10000.0,0.01,3.0,1.0,corr_z,0.0,2024-12-03 18:47:48.277861
11.0,10000.0,0.01,3.0,1.0,total,0.0,2024-12-03 18:47:48.279912
11.0,10000.0,0.022564102564102566,3.0,1.0,x,0.0,2024-12-03 18:47:56.554410
11.0,10000.0,0.022564102564102566,3.0,1.0,z,0.0,2024-12-03 18:47:56.557223
11.0,10000.0,0.022564102564102566,3.0,1.0,corr_z,0.0,2024-12-03 18:47:56.559282
11.0,10000.0,0.022564102564102566,3.0,1.0,total,0.0,2024-12-03 18:47:56.561303
11.0,10000.0,0.03512820512820513,3.0,1.0,x,0.0,2024-12-03 18:48:04.883644
11.0,10000.0,0.03512820512820513,3.0,1.0,z,0.0001,2024-12-03 18:48:04.886424
11.0,10000.0,0.03512820512820513,3.0,1.0,corr_z,0.0,2024-12-03 18:48:04.888472
11.0,10000.0,0.03512820512820513,3.0,1.0,total,0.0001,2024-12-03 18:48:04.890459
11.0,10000.0,0.047692307692307694,3.0,1.0,x,0.0004,2024-12-03 18:48:13.271425
11.0,10000.0,0.047692307692307694,3.0,1.0,z,0.0,2024-12-03 18:48:13.274315
11.0,10000.0,0.047692307692307694,3.0,1.0,corr_z,0.0002,2024-12-03 18:48:13.276379
11.0,10000.0,0.047692307692307694,3.0,1.0,total,0.0004,2024-12-03 18:48:13.278396
11.0,10000.0,0.06025641025641026,3.0,1.0,x,0.0025,2024-12-03 18:48:21.735268
11.0,10000.0,0.06025641025641026,3.0,1.0,z,0.0017,2024-12-03 18:48:21.738154
11.0,10000.0,0.06025641025641026,3.0,1.0,corr_z,0.0017,2024-12-03 18:48:21.740199
11.0,10000.0,0.06025641025641026,3.0,1.0,total,0.0042,2024-12-03 18:48:21.742220
11.0,10000.0,0.07282051282051281,3.0,1.0,x,0.005,2024-12-03 18:48:30.253373
11.0,10000.0,0.07282051282051281,3.0,1.0,z,0.003,2024-12-03 18:48:30.256131
11.0,10000.0,0.07282051282051281,3.0,1.0,corr_z,0.0021,2024-12-03 18:48:30.258240
11.0,10000.0,0.07282051282051281,3.0,1.0,total,0.008,2024-12-03 18:48:30.260275
11.0,10000.0,0.08538461538461538,3.0,1.0,x,0.0114,2024-12-03 18:48:38.828923
11.0,10000.0,0.08538461538461538,3.0,1.0,z,0.0089,2024-12-03 18:48:38.831711
