d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,5.0,5.0,x,0.0,2024-12-02 14:34:41.559892
11.0,10000.0,0.01,5.0,5.0,z,0.0,2024-12-02 14:34:41.563946
11.0,10000.0,0.01,5.0,5.0,corr_z,0.0,2024-12-02 14:34:41.565501
11.0,10000.0,0.01,5.0,5.0,total,0.0,2024-12-02 14:34:41.566853
11.0,10000.0,0.022564102564102566,5.0,5.0,x,0.0,2024-12-02 14:34:45.664845
11.0,10000.0,0.022564102564102566,5.0,5.0,z,0.0,2024-12-02 14:34:45.667051
11.0,10000.0,0.022564102564102566,5.0,5.0,corr_z,0.0,2024-12-02 14:34:45.668453
11.0,10000.0,0.022564102564102566,5.0,5.0,total,0.0,2024-12-02 14:34:45.669880
11.0,10000.0,0.03512820512820513,5.0,5.0,x,0.0,2024-12-02 14:34:49.805205
11.0,10000.0,0.03512820512820513,5.0,5.0,z,0.0,2024-12-02 14:34:49.807500
11.0,10000.0,0.03512820512820513,5.0,5.0,corr_z,0.0,2024-12-02 14:34:49.808872
11.0,10000.0,0.03512820512820513,5.0,5.0,total,0.0,2024-12-02 14:34:49.810167
11.0,10000.0,0.047692307692307694,5.0,5.0,x,0.0,2024-12-02 14:34:53.964363
11.0,10000.0,0.047692307692307694,5.0,5.0,z,0.0007,2024-12-02 14:34:53.966809
11.0,10000.0,0.047692307692307694,5.0,5.0,corr_z,0.0,2024-12-02 14:34:53.968493
11.0,10000.0,0.047692307692307694,5.0,5.0,total,0.0007,2024-12-02 14:34:53.969958
11.0,10000.0,0.06025641025641026,5.0,5.0,x,0.0001,2024-12-02 14:34:58.054444
11.0,10000.0,0.06025641025641026,5.0,5.0,z,0.001,2024-12-02 14:34:58.056856
11.0,10000.0,0.06025641025641026,5.0,5.0,corr_z,0.0,2024-12-02 14:34:58.058396
11.0,10000.0,0.06025641025641026,5.0,5.0,total,0.0011,2024-12-02 14:34:58.059794
11.0,10000.0,0.07282051282051281,5.0,5.0,x,0.0,2024-12-02 14:35:02.292777
11.0,10000.0,0.07282051282051281,5.0,5.0,z,0.0036,2024-12-02 14:35:02.295055
11.0,10000.0,0.07282051282051281,5.0,5.0,corr_z,0.0004,2024-12-02 14:35:02.296487
11.0,10000.0,0.07282051282051281,5.0,5.0,total,0.0036,2024-12-02 14:35:02.297861
11.0,10000.0,0.08538461538461538,5.0,5.0,x,0.0001,2024-12-02 14:35:06.494885
11.0,10000.0,0.08538461538461538,5.0,5.0,z,0.0072,2024-12-02 14:35:06.497109
11.0,10000.0,0.08538461538461538,5.0,5.0,corr_z,0.0009,2024-12-02 14:35:06.498492
11.0,10000.0,0.08538461538461538,5.0,5.0,total,0.0073,2024-12-02 14:35:06.499740
11.0,10000.0,0.09794871794871794,5.0,5.0,x,0.0003,2024-12-02 14:35:10.697987
11.0,10000.0,0.09794871794871794,5.0,5.0,z,0.0157,2024-12-02 14:35:10.700155
11.0,10000.0,0.09794871794871794,5.0,5.0,corr_z,0.0023,2024-12-02 14:35:10.701486
11.0,10000.0,0.09794871794871794,5.0,5.0,total,0.016,2024-12-02 14:35:10.702770
11.0,10000.0,0.1105128205128205,5.0,5.0,x,0.0007,2024-12-02 14:35:14.954947
