l,eta,error_type,pth,stderr
0.5,CORR_ZX,0.1563505601426921,0.0007068250476388,
1.0,CORR_ZX,0.1476732483901728,0.0007727130991898,
5.0,CORR_ZX,0.1074586303416713,0.0012685421483024,
0.5,CORR_ZX,0.1733139485866665,0.0005666667295602,
1.0,CORR_ZX,0.1778224206329038,0.0005467444304376,
5.0,CORR_ZX,0.1535997346742851,0.0006150295423745,
0.5,CORR_ZX,0.14346670809342,0.0011595843775972,
1.0,CORR_ZX,0.1721018783560929,0.0007705023262798,
5.0,CORR_ZX,0.1868843567099158,0.0006978066403025,
0.5,CORR_ZX,0.1081551068727847,0.0019315881125064,
1.0,CORR_ZX,0.1427020236488662,0.0013158376087153,
5.0,CORR_ZX,0.208997095869007,0.0008491562653606,
0.5,CORR_ZX,0.0846152502107684,0.0062624163648673,
1.0,CORR_ZX,0.1025263169145341,0.004022947243557,
5.0,CORR_ZX,0.2264183444870568,0.0012435472086969,
0.5,CORR_XZ,0.1570877925145279,0.000505556099608,
1.0,CORR_XZ,0.1664723501038766,0.0004758640076573,
5.0,CORR_XZ,0.1152930444586067,0.0006523594341451,
0.5,CORR_XZ,0.1240845964397534,0.000830695873458,
1.0,CORR_XZ,0.1612285150387999,0.0004989053450672,
5.0,CORR_XZ,0.1554777824834084,0.0005527423054671,
0.5,CORR_XZ,0.0847226233860825,0.0026287956193527,
1.0,CORR_XZ,0.144088239898646,0.0009379803470835,
5.0,CORR_XZ,0.1863586209693835,0.0008127844639417,
0.5,CORR_XZ,0.064674256278188,0.004251317617198,
1.0,CORR_XZ,0.1080208471802289,0.0027461667710551,
5.0,CORR_XZ,0.2079299442957074,0.0009309032077636,
0.5,CORR_XZ,0.047870136442351,0.0063584235395003,
1.0,CORR_XZ,0.0762945687049205,0.0065797022038876,
5.0,CORR_XZ,0.2246554471834004,0.0011130077284341,
0.75,CORR_XZ,0.1616194276697323,0.0014858955458757,
0.75,CORR_ZX,0.1531689447911255,0.0009965066079708,
2.0,CORR_XZ,0.1377241713840976,0.0008247093529758,
2.0,CORR_ZX,0.1183959560133577,0.0013852662549702,
3.0,CORR_XZ,0.1243522178720165,0.0009228581298674,
3.0,CORR_ZX,0.1106298397599985,0.0014647972945159,
4.0,CORR_XZ,0.1173757443531592,0.0010597913667365,
4.0,CORR_ZX,0.1074855875486714,0.0015237048798139,
0.75,CORR_XZ,0.146213806514021,0.0010002905916412,
0.75,CORR_ZX,0.1730925555037935,0.000778204838509,
2.0,CORR_XZ,0.1768733417250103,0.0004703112513798,
2.0,CORR_ZX,0.1740932676477099,0.0005707722858563,
3.0,CORR_XZ,0.1679795925488544,0.0005127354094707,
3.0,CORR_ZX,0.1635082653780545,0.0005591822382341,
4.0,CORR_XZ,0.159866073238527,0.0005166542350109,
4.0,CORR_ZX,0.1583749399711503,0.0005436857190416,
0.75,CORR_XZ,0.1107414122817301,0.0022751751805808,
0.75,CORR_ZX,0.156206052405697,0.0012709764914641,
2.0,CORR_XZ,0.1858151636112893,0.0005467862991038,
2.0,CORR_ZX,0.1869848854003855,0.0006287157021965,
3.0,CORR_XZ,0.196066594175223,0.0005323524725187,
3.0,CORR_ZX,0.1949624016160624,0.0004782105709758,
4.0,CORR_XZ,0.1928211845653299,0.0007462155674627,
4.0,CORR_ZX,0.1929811612738228,0.0005988644140318,
0.75,CORR_XZ,0.094,0.002,
0.75,CORR_ZX,0.1132144239195746,0.0046248430818336,
2.0,CORR_XZ,0.1855885007715668,0.0008105299521597,
2.0,CORR_ZX,0.1861118471425855,0.001032523332499,
3.0,CORR_XZ,0.2047269900416954,0.0005401784515831,
3.0,CORR_ZX,0.205430933163686,0.0005923790923946,
4.0,CORR_XZ,0.2105409310923987,0.0008257179586422,
4.0,CORR_ZX,0.2109076526293499,0.0006782280763227,
0.75,CORR_XZ,0.044474813298991,0.0244792614987601,
0.75,CORR_ZX,0.0781313017129127,0.0187413697837357,
2.0,CORR_XZ,0.1810217882202392,0.0010636050638885,
2.0,CORR_ZX,0.1775130643592187,0.0015588358214537,
3.0,CORR_XZ,0.2082390358015879,0.0006003725080215,
3.0,CORR_ZX,0.2100532613222767,0.0006622383964993,
4.0,CORR_XZ,0.221260629853309,0.0008179553688546,
4.0,CORR_ZX,0.2229402527357659,0.0006882228093426,
1.5,CORR_XZ,0.1518023274626428,0.0008443922553111,
1.5,CORR_ZX,0.1274239694210757,0.0015080929063697,
2.5,CORR_XZ,0.1296010084919174,0.0011033114285183,
2.5,CORR_ZX,0.1142040898103472,0.0017851181445059,
3.5,CORR_XZ,0.1203848213181821,0.0012810765610016,
3.5,CORR_ZX,0.108471441572767,0.0018520225959003,
4.5,CORR_XZ,0.1151740138544615,0.0013473624732311,
4.5,CORR_ZX,0.1060928054200352,0.0018391978067407,
6.0,CORR_XZ,0.1104453306922552,0.0013971439398325,
6.0,CORR_ZX,0.1033736803238133,0.001943951400998,
7.0,CORR_XZ,0.1082116199828537,0.0014404938897058,
7.0,CORR_ZX,0.1024374516472113,0.0019275878767616,
1.5,CORR_XZ,0.173104661708963,0.0006678823608939,
1.5,CORR_ZX,0.1728459840532622,0.0008932848544645,
2.5,CORR_XZ,0.1736557534037139,0.0005674101882471,
2.5,CORR_ZX,0.1691376375384977,0.0006273522698714,
3.5,CORR_XZ,0.1633882550386763,0.0005736343928683,
3.5,CORR_ZX,0.1590232753395326,0.0006792561696246,
4.5,CORR_XZ,0.1575076278013642,0.0005876291035952,
4.5,CORR_ZX,0.15556257346032,0.0006190038460269,
6.0,CORR_XZ,0.1525178267185198,0.0005905261460603,
6.0,CORR_ZX,0.1501282589781528,0.0007299211592976,
7.0,CORR_XZ,0.1504461418717008,0.0005924422339552,
7.0,CORR_ZX,0.1486348433467304,0.000695188515357,
1.5,CORR_XZ,0.1725455909744602,0.000883450460077,
1.5,CORR_ZX,0.1736464761631142,0.0011053673739471,
2.5,CORR_XZ,0.1932171517364277,0.0004683222976767,
2.5,CORR_ZX,0.1929054625845486,0.0005570186093252,
3.5,CORR_XZ,0.1953103883241543,0.0007265872573584,
3.5,CORR_ZX,0.1937355369499739,0.0005970877254537,
4.5,CORR_XZ,0.1900294317876932,0.0008770172879196,
4.5,CORR_ZX,0.1900836619537192,0.0007007084379581,
6.0,CORR_XZ,0.1834693033315154,0.0008530893847333,
6.0,CORR_ZX,0.183119645699039,0.0007314400458155,
7.0,CORR_XZ,0.1807144562372432,0.0007955174552961,
7.0,CORR_ZX,0.1803104022887013,0.0006561453263095,
1.5,CORR_XZ,0.1647107448950416,0.0012898738386502,
1.5,CORR_ZX,0.1585511774069048,0.0018551552791797,
2.5,CORR_XZ,0.1972098331469929,0.0005704704155424,
2.5,CORR_ZX,0.1981663025870796,0.0006659486455043,
3.5,CORR_XZ,0.2090617921462751,0.0006255403430947,
3.5,CORR_ZX,0.2094659884305182,0.0005227337623567,
4.5,CORR_XZ,0.2106076704880543,0.0009838872177588,
4.5,CORR_ZX,0.2108464670428268,0.0007528785534329,
6.0,CORR_XZ,0.2054393127433428,0.00111361236917,
6.0,CORR_ZX,0.2061601752385355,0.0009216657515051,
7.0,CORR_XZ,0.2023812500573591,0.0010792788820667,
7.0,CORR_ZX,0.2029467091483092,0.0009418133702375,
1.5,CORR_XZ,0.1341316725118445,0.0034387151088154,
1.5,CORR_ZX,0.1124722500317246,0.0087511713313823,
2.5,CORR_XZ,0.1975173239432195,0.0007388111894875,
2.5,CORR_ZX,0.1988198875629742,0.0009234041843519,
3.5,CORR_XZ,0.2157420563691014,0.0005942209558929,
3.5,CORR_ZX,0.2174798189665393,0.0005854706647166,
4.5,CORR_XZ,0.2245212983092865,0.0010521534266782,
4.5,CORR_ZX,0.2262017104527349,0.0009223363870099,
6.0,CORR_XZ,0.2263454517522917,0.0016299311552647,
6.0,CORR_ZX,0.2282793826993029,0.0014775665857428,
7.0,CORR_XZ,0.2246033912399604,0.0017466997172831,
7.0,CORR_ZX,0.2258090516994934,0.0016557717769362,
1.67,CORR_XZ,0.14448789861303624,0.002121551833988399
1.67,CORR_ZX,0.12816242995869648,0.0005693427216703621
3,CORR_XZ,0.12435852306024495,0.0006530626332885335
3,CORR_ZX,0.11078461461456902,0.0010073797328502777
