l,eta,error_type,CD_type,noise_model,pth,stderr
6,10.0,Z_MEM,ZXXZonSqu,circuit_level,0.0045284566712828,5.7110934728154914e-06
6,10.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.004544001804618,5.4373242162973e-06
2,25.0,X_MEM,ZXXZonSqu,circuit_level,0.0093493677719669,3.3021614976087667e-06
2,25.0,Z_MEM,ZXXZonSqu,circuit_level,0.009393485787294,3.211849802592538e-06
2,25.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0093717313276479,2.4025039826883067e-06
4,25.0,X_MEM,ZXXZonSqu,circuit_level,0.0137681675628971,1.3349753438349628e-05
4,25.0,Z_MEM,ZXXZonSqu,circuit_level,0.0059798982278018,4.996157231782734e-06
4,25.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0061160720353773,4.474910574967067e-06
6,25.0,X_MEM,ZXXZonSqu,circuit_level,0.0160667537138915,6.626317208214226e-05
6,25.0,Z_MEM,ZXXZonSqu,circuit_level,0.0047016439542739,6.142141627148134e-06
6,25.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0047207213501381,5.841524717060334e-06
2,50.0,X_MEM,ZXXZonSqu,circuit_level,0.0094561990154206,3.5392952388643827e-06
2,50.0,Z_MEM,ZXXZonSqu,circuit_level,0.009513767806584,3.2950232122291306e-06
2,50.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0094837954450129,2.427567407274013e-06
4,50.0,X_MEM,ZXXZonSqu,circuit_level,0.0140483222140277,0.0001712488039911
4,50.0,Z_MEM,ZXXZonSqu,circuit_level,0.0060308664646923,4.9809092796206205e-06
4,50.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0061835985617542,4.472142678522744e-06
6,50.0,X_MEM,ZXXZonSqu,circuit_level,0.0159815270065825,0.0001773115797171
6,50.0,Z_MEM,ZXXZonSqu,circuit_level,0.0047334076750984,6.484627444323672e-06
