l,eta,error_type,CD_type,noise_model,pth,stderr
5,500.0,X_MEM,SC,circuit_level,0.0131869261375555,9.137273564101162e-06
5,500.0,Z_MEM,SC,circuit_level,0.00736,inf
5,500.0,TOTAL_MEM,SC,circuit_level,0.0131871062364551,9.470763561840308e-06
6,500.0,X_MEM,SC,circuit_level,0.0143117648605096,6.188458100651346e-06
6,500.0,Z_MEM,SC,circuit_level,0.00466,inf
6,500.0,TOTAL_MEM,SC,circuit_level,0.0143140320858287,5.9056340522213374e-06
2,1000.0,X_MEM,SC,circuit_level,0.0073854084674803,7.96314806097557e-06
2,1000.0,Z_MEM,SC,circuit_level,0.00736,inf
2,1000.0,TOTAL_MEM,SC,circuit_level,0.0073839919623129,7.800369487085593e-06
3,1000.0,X_MEM,SC,circuit_level,0.0100772524640489,8.513574601279444e-06
3,1000.0,Z_MEM,SC,circuit_level,0.00466,inf
3,1000.0,TOTAL_MEM,SC,circuit_level,0.0100762252469216,9.06575586252437e-06
4,1000.0,X_MEM,SC,circuit_level,0.0118844501489891,8.176808245310631e-06
4,1000.0,Z_MEM,SC,circuit_level,0.00354,inf
4,1000.0,TOTAL_MEM,SC,circuit_level,0.011884916584642,8.528600617493158e-06
5,1000.0,X_MEM,SC,circuit_level,0.0132096129110885,8.48710583051801e-06
5,1000.0,Z_MEM,SC,circuit_level,0.00736,inf
5,1000.0,TOTAL_MEM,SC,circuit_level,0.0132096129110885,8.48710583051801e-06
6,1000.0,X_MEM,SC,circuit_level,0.014339958888184,6.206867430150744e-06
6,1000.0,Z_MEM,SC,circuit_level,0.00466,inf
6,1000.0,TOTAL_MEM,SC,circuit_level,0.0143402328167615,6.461830125569781e-06
2,0.5,X_MEM,ZXXZonSqu,circuit_level,0.008109987689762,7.814906389234692e-06
2,0.5,Z_MEM,ZXXZonSqu,circuit_level,0.0080983611636368,7.363159680417825e-06
2,0.5,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0081028192579615,5.802470115675706e-06
3,0.5,X_MEM,ZXXZonSqu,circuit_level,0.0094537852423491,6.36508092951742e-05
3,0.5,Z_MEM,ZXXZonSqu,circuit_level,0.0060825278228155,1.6757989337253582e-05
3,0.5,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0063602017467424,1.527417255951127e-05
4,0.5,X_MEM,ZXXZonSqu,circuit_level,0.0104138531545587,1.8452466474831254e-05
4,0.5,Z_MEM,ZXXZonSqu,circuit_level,0.0049916304305951,2.4899600476862088e-05
4,0.5,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0050944491389312,2.0798861705825804e-05
5,0.5,X_MEM,ZXXZonSqu,circuit_level,0.0109769151277562,3.418209877744329e-05
5,0.5,Z_MEM,ZXXZonSqu,circuit_level,0.0042954845436952,3.509696679592576e-05
5,0.5,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0043415039117513,3.059191037606826e-05
6,0.5,X_MEM,ZXXZonSqu,circuit_level,0.0114201634403867,2.3154354460471356e-05
6,0.5,Z_MEM,ZXXZonSqu,circuit_level,0.003758103987243,4.488777545753875e-05
6,0.5,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0037946597335746,4.073327304835894e-05
2,10.0,X_MEM,ZXXZonSqu,circuit_level,0.014004516362023,1.3564797566797753e-05
2,10.0,Z_MEM,ZXXZonSqu,circuit_level,0.0142762717170641,9.081823383196827e-06
2,10.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0141450027087107,9.45372802488732e-06
3,10.0,X_MEM,ZXXZonSqu,circuit_level,0.0162493978637293,0.0001496720004302
3,10.0,Z_MEM,ZXXZonSqu,circuit_level,0.0113076715571484,0.0001421186645685
3,10.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0131650814871464,3.765166946950394e-05
4,10.0,X_MEM,ZXXZonSqu,circuit_level,0.0172865376250053,9.453968854124092e-05
4,10.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0118739271205016,5.030068439393442e-05
5,10.0,X_MEM,ZXXZonSqu,circuit_level,0.0173674920527109,6.259466497382721e-05
5,10.0,Z_MEM,ZXXZonSqu,circuit_level,0.00983478297097,0.0016300523683097
5,10.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0107377596357684,7.300426931061078e-05
6,10.0,X_MEM,ZXXZonSqu,circuit_level,0.0182968459013787,8.939750512735376e-05
6,10.0,Z_MEM,ZXXZonSqu,circuit_level,0.0076033141749673,0.0002917036002807
6,10.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0096871343887373,8.045593801863899e-05
2,50.0,X_MEM,ZXXZonSqu,circuit_level,0.0178847767116706,4.111379571328167e-05
2,50.0,Z_MEM,ZXXZonSqu,circuit_level,0.019054401776764,9.18262052375853e-06
2,50.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.01854054325507,1.4522595460077716e-05
3,50.0,X_MEM,ZXXZonSqu,circuit_level,0.0207159227559345,0.000143399512881
3,50.0,Z_MEM,ZXXZonSqu,circuit_level,0.0039228315278128,0.0009066779931988
3,50.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.019748509037219,4.91585318948041e-05
4,50.0,X_MEM,ZXXZonSqu,circuit_level,0.0216835871012557,0.000113527265597
4,50.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0205679408867041,4.038395398839917e-05
5,50.0,X_MEM,ZXXZonSqu,circuit_level,0.0217400833942602,0.0001400132845133
5,50.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0207050657531533,3.523966374958487e-05
6,50.0,X_MEM,ZXXZonSqu,circuit_level,0.0227704943265923,0.0001746285575308
6,50.0,Z_MEM,ZXXZonSqu,circuit_level,0.00466,inf
6,50.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0212864490301503,5.045582622647395e-05
2,100.0,X_MEM,ZXXZonSqu,circuit_level,0.0190348327104619,6.766643402439936e-05
2,100.0,Z_MEM,ZXXZonSqu,circuit_level,0.0210284203310635,1.320649896780664e-05
2,100.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0202212127801582,1.4145764931515166e-05
3,100.0,X_MEM,ZXXZonSqu,circuit_level,0.0222208740624822,0.0001620278193715
3,100.0,Z_MEM,ZXXZonSqu,circuit_level,0.003648033446286,0.0020714820893793
3,100.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0218992174803284,0.0001274503819255
4,100.0,X_MEM,ZXXZonSqu,circuit_level,0.0231244884741377,0.0001005455467557
4,100.0,Z_MEM,ZXXZonSqu,circuit_level,0.00354,inf
4,100.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0228777097330045,7.972102200483727e-05
5,100.0,X_MEM,ZXXZonSqu,circuit_level,0.023028132302745,0.0001123925957375
5,100.0,Z_MEM,ZXXZonSqu,circuit_level,0.00736,inf
5,100.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0228819390658378,9.478512836092258e-05
6,100.0,X_MEM,ZXXZonSqu,circuit_level,0.0242058426492775,8.916798249920153e-05
6,100.0,Z_MEM,ZXXZonSqu,circuit_level,0.00466,inf
6,100.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0239391745870604,7.171984945771329e-05
2,500.0,X_MEM,ZXXZonSqu,circuit_level,0.0196662191861613,5.113793820587046e-05
2,500.0,Z_MEM,ZXXZonSqu,circuit_level,0.0249725943093266,5.608363628691049e-05
2,500.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0233755562484799,1.5015264415223364e-05
3,500.0,X_MEM,ZXXZonSqu,circuit_level,0.0223054920836224,0.000141800715937
3,500.0,Z_MEM,ZXXZonSqu,circuit_level,0.00466,inf
3,500.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0245295908274877,0.000235726190237
4,500.0,X_MEM,ZXXZonSqu,circuit_level,0.0252531268172652,0.0001402697076477
4,500.0,Z_MEM,ZXXZonSqu,circuit_level,0.00354,inf
4,500.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0252552561242873,0.0001419778122889
5,500.0,X_MEM,ZXXZonSqu,circuit_level,0.0248329856839561,0.0001748193743751
5,500.0,Z_MEM,ZXXZonSqu,circuit_level,0.00736,inf
5,500.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0248478728528859,0.0001664260278707
6,500.0,X_MEM,ZXXZonSqu,circuit_level,0.0262868608643064,0.0001276652713444
6,500.0,Z_MEM,ZXXZonSqu,circuit_level,0.00466,inf
